Date,Advancers,Decliners,Neutral
1995-01-04,333,262,139
1995-01-05,282,286,166
1995-01-06,280,258,196
1995-01-09,296,290,148
1995-01-10,269,293,172
1995-01-11,276,279,180
1995-01-12,285,268,182
1995-01-13,388,188,159
1995-01-16,360,209,166
1995-01-17,343,228,164
1995-01-18,246,316,173
1995-01-19,210,350,175
1995-01-20,201,355,179
1995-01-23,208,345,182
1995-01-24,309,244,182
1995-01-25,344,215,176
1995-01-26,288,256,191
1995-01-27,317,247,171
1995-01-30,225,334,176
1995-01-31,298,271,166
1995-02-01,317,242,176
1995-02-02,331,218,186
1995-02-03,459,126,150
1995-02-06,357,228,150
1995-02-07,303,260,172
1995-02-08,279,256,200
1995-02-09,315,268,152
1995-02-10,308,229,198
1995-02-13,281,278,176
1995-02-14,295,270,170
1995-02-15,384,203,148
1995-02-16,205,336,194
1995-02-17,239,310,186
1995-02-21,251,288,196
1995-02-22,309,233,193
1995-02-23,377,183,175
1995-02-24,267,254,214
1995-02-27,141,422,172
1995-02-28,430,142,163
1995-03-01,215,330,190
1995-03-02,256,290,189
1995-03-03,227,296,212
1995-03-06,232,320,183
1995-03-07,151,421,163
1995-03-08,288,261,186
1995-03-09,263,312,160
1995-03-10,406,164,165
1995-03-13,292,267,176
1995-03-14,383,197,155
1995-03-15,271,276,188
1995-03-16,328,221,186
1995-03-17,240,323,172
1995-03-20,283,269,183
1995-03-21,254,306,175
1995-03-22,253,274,208
1995-03-23,276,258,201
1995-03-24,415,144,176
1995-03-27,331,228,176
1995-03-28,285,277,173
1995-03-29,272,261,202
1995-03-30,328,214,193
1995-03-31,269,308,158
1995-04-03,298,284,154
1995-04-04,372,208,156
1995-04-05,292,259,186
1995-04-06,295,262,180
1995-04-07,258,304,175
1995-04-10,280,283,174
1995-04-11,244,313,180
1995-04-12,294,256,187
1995-04-13,321,233,183
1995-04-17,279,290,168
1995-04-18,229,316,192
1995-04-19,229,315,193
1995-04-20,291,272,174
1995-04-21,352,215,170
1995-04-24,351,210,176
1995-04-25,295,276,166
1995-04-26,269,274,194
1995-04-27,287,279,171
1995-04-28,304,253,181
1995-05-01,265,287,186
1995-05-02,283,263,192
1995-05-03,392,180,166
1995-05-04,294,289,155
1995-05-05,292,277,169
1995-05-08,365,195,178
1995-05-09,310,259,169
1995-05-10,308,262,169
1995-05-11,270,287,182
1995-05-12,305,242,192
1995-05-15,357,216,166
1995-05-16,369,216,154
1995-05-17,229,338,172
1995-05-18,123,459,157
1995-05-19,235,320,184
1995-05-22,359,225,155
1995-05-23,362,199,178
1995-05-24,311,262,166
1995-05-25,269,300,170
1995-05-26,232,340,167
1995-05-30,288,274,177
1995-05-31,409,163,167
1995-06-01,321,246,172
1995-06-02,336,256,147
1995-06-05,383,179,178
1995-06-06,296,260,184
1995-06-07,213,361,166
1995-06-08,270,308,162
1995-06-09,159,404,177
1995-06-12,333,225,182
1995-06-13,407,190,144
1995-06-14,294,281,166
1995-06-15,298,265,178
1995-06-16,305,260,176
1995-06-19,349,231,162
1995-06-20,249,323,170
1995-06-21,301,267,174
1995-06-22,376,205,161
1995-06-23,227,322,193
1995-06-26,158,401,183
1995-06-27,268,296,178
1995-06-28,331,262,150
1995-06-29,262,300,181
1995-06-30,393,211,139
1995-07-03,296,232,215
1995-07-05,341,264,138
1995-07-06,427,170,146
1995-07-07,417,197,129
1995-07-10,354,252,137
1995-07-11,272,327,145
1995-07-12,368,221,155
1995-07-13,258,312,174
1995-07-14,243,336,165
1995-07-17,345,260,139
1995-07-18,206,371,167
1995-07-19,87,535,122
1995-07-20,373,221,150
1995-07-21,298,260,187
1995-07-24,364,203,178
1995-07-25,362,241,142
1995-07-26,325,253,167
1995-07-27,400,195,151
1995-07-28,267,302,178
1995-07-31,277,268,202
1995-08-01,247,333,167
1995-08-02,322,248,177
1995-08-03,231,337,179
1995-08-04,286,261,200
1995-08-07,316,228,204
1995-08-08,230,326,192
1995-08-09,281,297,170
1995-08-10,238,301,209
1995-08-11,211,380,157
1995-08-14,348,215,185
1995-08-15,237,329,182
1995-08-16,353,230,166
1995-08-17,302,279,168
1995-08-18,303,261,185
1995-08-21,330,232,188
1995-08-22,259,302,189
1995-08-23,246,311,193
1995-08-24,269,291,190
1995-08-25,336,212,202
1995-08-28,267,304,180
1995-08-29,268,292,191
1995-08-30,316,244,191
1995-08-31,304,226,221
1995-09-01,354,205,192
1995-09-05,377,204,170
1995-09-06,355,217,179
1995-09-07,298,274,179
1995-09-08,370,210,171
1995-09-11,304,256,191
1995-09-12,359,238,154
1995-09-13,296,292,163
1995-09-14,363,230,158
1995-09-15,264,312,175
1995-09-18,224,347,180
1995-09-19,290,292,170
1995-09-20,312,268,172
1995-09-21,222,356,175
1995-09-22,208,395,151
1995-09-25,225,344,185
1995-09-26,282,295,177
1995-09-27,200,401,153
1995-09-28,365,190,199
1995-09-29,386,184,184
1995-10-02,210,350,194
1995-10-03,243,340,171
1995-10-04,206,346,203
1995-10-05,305,261,189
1995-10-06,304,255,196
1995-10-09,163,424,168
1995-10-10,193,385,177
1995-10-11,378,198,179
1995-10-12,371,220,165
1995-10-13,371,221,164
1995-10-16,258,303,195
1995-10-17,291,287,179
1995-10-18,276,289,192
1995-10-19,272,317,168
1995-10-20,241,360,156
1995-10-23,202,371,184
1995-10-24,281,300,176
1995-10-25,190,392,175
1995-10-26,171,434,153
1995-10-27,273,315,170
1995-10-30,351,238,169
1995-10-31,276,322,160
1995-11-01,357,221,181
1995-11-02,420,181,158
1995-11-03,327,253,179
1995-11-06,275,303,181
1995-11-07,265,319,175
1995-11-08,349,208,202
1995-11-09,297,267,195
1995-11-10,279,289,192
1995-11-13,261,325,174
1995-11-14,242,356,162
