Date,Advances,Declines,Unchanged,Total,Advance_Decline_Diff,AD_Line,Pct_Advancing,AD_Line_SMA50,AD_Line_SMA200,AD_Line_ROC20
2024-04-22,0,0,0,0,0,0,,,,
2024-04-23,391,107,4,502,284,284,77.89,,,
2024-04-24,278,222,2,502,56,340,55.38,,,
2024-04-25,191,310,1,502,-119,221,38.05,,,
2024-04-26,265,235,2,502,30,251,52.79,,,
2024-04-29,361,138,3,502,223,474,71.91,,,
2024-04-30,58,442,2,502,-384,90,11.55,,,
2024-05-01,238,262,2,502,-24,66,47.41,,,
2024-05-02,358,144,0,502,214,280,71.31,,,
2024-05-03,377,123,2,502,254,534,75.1,,,
2024-05-06,386,113,3,502,273,807,76.89,,,
2024-05-07,324,177,1,502,147,954,64.54,,,
2024-05-08,248,253,1,502,-5,949,49.4,,,
2024-05-09,414,88,0,502,326,1275,82.47,,,
2024-05-10,302,194,6,502,108,1383,60.16,,,
2024-05-13,214,284,4,502,-70,1313,42.63,,,
2024-05-14,315,184,3,502,131,1444,62.75,,,
2024-05-15,363,136,3,502,227,1671,72.31,,,
2024-05-16,224,271,7,502,-47,1624,44.62,,,
2024-05-17,296,204,2,502,92,1716,58.96,,,
2024-05-20,218,280,4,502,-62,1654,43.43,,,inf
2024-05-21,252,247,3,502,5,1659,50.2,,,484.1549295774648
2024-05-22,178,322,2,502,-144,1515,35.46,,,345.5882352941177
2024-05-23,57,445,0,502,-388,1127,11.35,,,409.95475113122166
2024-05-24,360,141,1,502,219,1346,71.71,,,436.2549800796812
2024-05-28,134,364,4,502,-230,1116,26.69,,,135.44303797468356
2024-05-29,58,442,2,502,-384,732,11.55,,,713.3333333333333
2024-05-30,360,140,2,502,220,952,71.71,,,1342.4242424242425
2024-05-31,419,82,1,502,337,1289,83.47,,,360.3571428571429
2024-06-03,173,327,2,502,-154,1135,34.46,,,112.54681647940075
2024-06-04,232,270,0,502,-38,1097,46.22,,,35.9355638166047
2024-06-05,324,176,2,502,148,1245,64.54,,,30.503144654088054
2024-06-06,200,299,3,502,-99,1146,39.84,,,20.758693361433078
2024-06-07,189,310,3,502,-121,1025,37.65,,,-19.6078431372549
2024-06-10,289,211,2,502,78,1103,57.57,,,-20.24584237165582
2024-06-11,183,315,4,502,-132,971,36.45,,,-26.047220106626046
2024-06-12,297,204,1,502,93,1064,59.16,,,-26.315789473684216
2024-06-13,183,315,4,502,-132,932,36.45,,,-44.22501496110114
2024-06-14,136,364,2,502,-228,704,27.09,,,-56.65024630541872
2024-06-17,361,140,1,502,221,925,71.91,,,-46.095571095571096
2024-06-18,319,179,4,502,140,1065,63.55,,,-35.610640870616685
2024-06-20,287,214,1,502,73,1138,57.17,,,-31.404460518384568
2024-06-21,293,206,3,502,87,1225,58.37,,,-19.14191419141914
2024-06-24,353,146,3,502,207,1432,70.32,,,27.062999112688544
2024-06-25,118,381,3,502,-263,1169,23.51,,,-13.15007429420505
2024-06-26,173,328,1,502,-155,1014,34.46,,,-9.139784946236562
2024-06-27,285,215,2,502,70,1084,56.77,,,48.08743169398908
2024-06-28,269,232,1,502,37,1121,53.59,,,17.752100840336137
2024-07-01,126,374,2,502,-248,873,25.1,,,-32.27307990690458
2024-07-02,342,158,2,502,184,1057,68.13,991.82,,-6.872246696035244
2024-07-03,247,250,5,502,-3,1054,49.2,1012.9,,-3.919781221513219
2024-07-05,237,262,3,502,-25,1029,47.21,1027.8,,-17.34939759036145
