Date,Advances,Declines,Unchanged,Total,Advance_Decline_Diff
2024-04-22,0,0,0,0,0
2024-04-23,391,107,4,502,284
2024-04-24,278,222,2,502,56
2024-04-25,191,310,1,502,-119
2024-04-26,265,235,2,502,30
2024-04-29,361,138,3,502,223
2024-04-30,58,442,2,502,-384
2024-05-01,238,262,2,502,-24
2024-05-02,358,144,0,502,214
2024-05-03,377,123,2,502,254
2024-05-06,386,113,3,502,273
2024-05-07,324,177,1,502,147
2024-05-08,248,253,1,502,-5
2024-05-09,414,88,0,502,326
2024-05-10,302,194,6,502,108
2024-05-13,214,284,4,502,-70
2024-05-14,315,184,3,502,131
2024-05-15,363,136,3,502,227
2024-05-16,224,271,7,502,-47
2024-05-17,296,204,2,502,92
2024-05-20,218,280,4,502,-62
2024-05-21,252,247,3,502,5
2024-05-22,178,322,2,502,-144
2024-05-23,57,445,0,502,-388
2024-05-24,360,141,1,502,219
2024-05-28,134,364,4,502,-230
2024-05-29,58,442,2,502,-384
2024-05-30,360,140,2,502,220
2024-05-31,419,82,1,502,337
2024-06-03,173,327,2,502,-154
2024-06-04,232,270,0,502,-38
2024-06-05,324,176,2,502,148
2024-06-06,200,299,3,502,-99
2024-06-07,189,310,3,502,-121
2024-06-10,289,211,2,502,78
2024-06-11,183,315,4,502,-132
2024-06-12,297,204,1,502,93
2024-06-13,183,315,4,502,-132
2024-06-14,136,364,2,502,-228
2024-06-17,361,140,1,502,221
2024-06-18,319,179,4,502,140
2024-06-20,287,214,1,502,73
2024-06-21,293,206,3,502,87
2024-06-24,353,146,3,502,207
2024-06-25,118,381,3,502,-263
2024-06-26,173,328,1,502,-155
2024-06-27,285,215,2,502,70
2024-06-28,269,232,1,502,37
2024-07-01,126,374,2,502,-248
2024-07-02,342,158,2,502,184
2024-07-03,247,250,5,502,-3
2024-07-05,237,262,3,502,-25
2024-07-08,279,222,1,502,57
2024-07-09,197,303,3,503,-106
2024-07-10,404,97,2,503,307
2024-07-11,394,109,0,503,285
2024-07-12,404,97,2,503,307
2024-07-15,282,221,0,503,61
2024-07-16,443,58,2,503,385
2024-07-17,247,254,2,503,-7
2024-07-18,118,383,2,503,-265
2024-07-19,138,363,2,503,-225
2024-07-22,392,108,3,503,284
2024-07-23,189,312,2,503,-123
2024-07-24,163,338,2,503,-175
2024-07-25,288,213,2,503,75
2024-07-26,439,61,3,503,378
2024-07-29,273,226,4,503,47
2024-07-30,338,163,2,503,175
2024-07-31,288,214,1,503,74
2024-08-01,171,331,1,503,-160
2024-08-02,132,371,0,503,-239
2024-08-05,23,480,0,503,-457
2024-08-06,398,104,1,503,294
2024-08-07,147,355,1,503,-208
2024-08-08,456,45,2,503,411
2024-08-09,298,203,2,503,95
2024-08-12,164,337,2,503,-173
2024-08-13,425,74,4,503,351
2024-08-14,304,193,6,503,111
2024-08-15,415,87,1,503,328
2024-08-16,325,175,3,503,150
2024-08-19,418,82,3,503,336
2024-08-20,171,329,3,503,-158
2024-08-21,403,99,1,503,304
2024-08-22,211,289,3,503,-78
2024-08-23,433,69,1,503,364
2024-08-26,269,232,2,503,37
2024-08-27,243,258,2,503,-15
2024-08-28,214,284,5,503,-70
2024-08-29,336,167,0,503,169
2024-08-30,436,63,4,503,373
2024-09-03,147,354,2,503,-207
2024-09-04,241,261,1,503,-20
2024-09-05,125,373,5,503,-248
2024-09-06,84,416,3,503,-332
2024-09-09,418,84,1,503,334
2024-09-10,266,233,4,503,33
2024-09-11,236,263,4,503,-27
2024-09-12,376,126,1,503,250
2024-09-13,425,75,3,503,350
2024-09-16,386,115,2,503,271
2024-09-17,270,232,1,503,38
2024-09-18,212,286,5,503,-74
2024-09-19,351,148,4,503,203
2024-09-20,177,321,5,503,-144
2024-09-23,361,136,6,503,225
2024-09-24,253,247,3,503,6
2024-09-25,132,369,2,503,-237
2024-09-26,331,172,0,503,159
2024-09-27,337,163,3,503,174
2024-09-30,316,184,3,503,132
2024-10-01,165,338,0,503,-173
2024-10-02,225,274,4,503,-49
2024-10-03,115,386,2,503,-271
2024-10-04,361,142,0,503,219
2024-10-07,104,394,5,503,-290
2024-10-08,316,184,3,503,132
2024-10-09,377,125,1,503,252
2024-10-10,162,338,3,503,-176
2024-10-11,435,68,0,503,367
2024-10-14,402,101,0,503,301
2024-10-15,247,255,1,503,-8
2024-10-16,360,142,1,503,218
2024-10-17,238,263,2,503,-25
2024-10-18,319,183,1,503,136
2024-10-21,83,417,3,503,-334
2024-10-22,184,317,2,503,-133
2024-10-23,181,316,6,503,-135
2024-10-24,251,250,2,503,1
2024-10-25,151,348,4,503,-197
2024-10-28,354,149,0,503,205
2024-10-29,163,339,1,503,-176
2024-10-30,244,256,3,503,-12
2024-10-31,137,365,1,503,-228
2024-11-01,248,253,2,503,-5
2024-11-04,277,224,2,503,53
2024-11-05,446,57,0,503,389
2024-11-06,341,161,1,503,180
2024-11-07,269,234,0,503,35
2024-11-08,322,180,1,503,142
2024-11-11,307,196,0,503,111
2024-11-12,144,358,1,503,-214
2024-11-13,264,235,4,503,29
2024-11-14,143,360,0,503,-217
2024-11-15,178,323,2,503,-145
2024-11-18,327,175,1,503,152
2024-11-19,196,307,0,503,-111
2024-11-20,310,192,1,503,118
2024-11-21,438,65,0,503,373
2024-11-22,380,120,3,503,260
2024-11-25,384,118,1,503,266
2024-11-26,277,225,1,503,52
2024-11-27,266,234,3,503,32
2024-11-29,301,200,2,503,101
2024-12-02,182,319,2,503,-137
2024-12-03,156,345,2,503,-189
2024-12-04,236,266,1,503,-30
2024-12-05,188,314,1,503,-126
2024-12-06,208,292,3,503,-84
2024-12-09,226,276,1,503,-50
2024-12-10,155,347,1,503,-192
2024-12-11,240,260,3,503,-20
2024-12-12,177,323,3,503,-146
2024-12-13,163,335,5,503,-172
2024-12-16,185,318,0,503,-133
2024-12-17,120,380,3,503,-260
2024-12-18,19,484,0,503,-465
2024-12-19,198,303,2,503,-105
2024-12-20,448,54,1,503,394
2024-12-23,276,225,2,503,51
2024-12-24,461,41,1,503,420
2024-12-26,279,221,3,503,58
2024-12-27,52,449,2,503,-397
2024-12-30,34,468,1,503,-434
2024-12-31,297,200,6,503,97
2025-01-02,180,322,1,503,-142
2025-01-03,399,103,1,503,296
2025-01-06,233,267,3,503,-34
2025-01-07,205,296,2,503,-91
2025-01-08,294,205,4,503,89
2025-01-10,67,434,2,503,-367
2025-01-13,375,125,3,503,250
2025-01-14,381,119,3,503,262
2025-01-15,371,132,0,503,239
2025-01-16,375,125,3,503,250
2025-01-17,341,158,4,503,183
2025-01-21,417,85,1,503,332
2025-01-22,176,326,1,503,-150
2025-01-23,326,173,4,503,153
2025-01-24,251,246,6,503,5
2025-01-27,348,155,0,503,193
2025-01-28,154,346,3,503,-192
2025-01-29,209,294,0,503,-85
2025-01-30,413,89,1,503,324
2025-01-31,123,379,1,503,-256
2025-02-03,184,318,1,503,-134
2025-02-04,253,248,2,503,5
2025-02-05,351,149,3,503,202
2025-02-06,261,240,2,503,21
2025-02-07,136,365,2,503,-229
2025-02-10,288,212,3,503,76
2025-02-11,263,239,1,503,24
2025-02-12,159,343,1,503,-184
2025-02-13,396,107,0,503,289
2025-02-14,220,282,1,503,-62
2025-02-18,362,139,2,503,223
2025-02-19,297,205,1,503,92
2025-02-20,233,270,0,503,-37
2025-02-21,120,382,1,503,-262
2025-02-24,286,216,1,503,70
2025-02-25,295,207,1,503,88
2025-02-26,200,301,2,503,-101
2025-02-27,187,316,0,503,-129
2025-02-28,443,60,0,503,383
2025-03-03,167,334,2,503,-167
2025-03-04,84,418,1,503,-334
2025-03-05,377,125,1,503,252
2025-03-06,162,341,0,503,-179
2025-03-07,345,156,2,503,189
2025-03-10,154,346,3,503,-192
2025-03-11,117,384,2,503,-267
2025-03-12,185,317,1,503,-132
2025-03-13,129,374,0,503,-245
2025-03-14,454,49,0,503,405
2025-03-17,460,42,1,503,418
2025-03-18,162,340,1,503,-178
2025-03-19,368,133,2,503,235
2025-03-20,181,316,6,503,-135
2025-03-21,150,352,1,503,-202
2025-03-24,424,78,1,503,346
2025-03-25,219,281,3,503,-62
2025-03-26,266,235,2,503,31
2025-03-27,215,284,4,503,-69
2025-03-28,91,412,0,503,-321
2025-03-31,396,105,2,503,291
2025-04-01,301,201,1,503,100
2025-04-02,391,112,0,503,279
2025-04-03,95,407,1,503,-312
2025-04-04,14,489,0,503,-475
2025-04-07,160,342,1,503,-182
2025-04-08,69,434,0,503,-365
2025-04-09,494,9,0,503,485
2025-04-10,75,427,1,503,-352
2025-04-11,437,64,2,503,373
2025-04-14,432,70,1,503,362
2025-04-15,198,303,2,503,-105
2025-04-16,66,436,1,503,-370
2025-04-17,384,118,1,503,266
2025-04-21,39,464,0,503,-425
